,Feature_DT,DT_2004,Feature_DT_2008,DT_2008,Feature_DT_2012,DT_2012,Feature_DT_2016,DT_2016
0,Interest_Rate,0.03978920345493124,Interest_Rate,0.037485147581177304,Interest_Rate,0.014747737987020903,Interest_Rate,0.05805978040443426
1,UPB,0.08949642069078685,UPB,0.08802187289524971,UPB,0.10226967210746277,UPB,0.07163303006619089
2,Loan_Term,0.0068056676094341625,Loan_Term,0.0054410697736425075,Loan_Term,0.001898728839022646,Loan_Term,0.006795173967667221
3,LTV,0.0555315410337157,LTV,0.05550946773937651,LTV,0.09841945774116123,LTV,0.08632485367298494
4,Num_Borrowers,0.014403414577960122,Num_Borrowers,0.01272064600761776,Num_Borrowers,0.0005982946717299856,Num_Borrowers,0.024915637881446476
5,DTI,0.07154599570270992,DTI,0.07141211925038343,DTI,0.07283172043835459,DTI,0.07645029971095077
6,Borrower_FICO,0.09595081558793014,Borrower_FICO,0.09461999750375744,Borrower_FICO,0.09669855870476182,Borrower_FICO,0.05746908357996393
7,Unit_Count,0.006163637620429194,Unit_Count,0.005978317068705658,Unit_Count,0.00027569163820115783,Unit_Count,0.0024919995937005652
8,Insurance%,0.010849080524454999,Insurance%,0.007254691461380208,Insurance%,0.00944601874728345,Insurance%,0.018838313061132813
9,Mortgage_Insurance_Type,0.0020368672447117014,Mortgage_Insurance_Type,0.002661424348938421,Mortgage_Insurance_Type,0.023964567383986984,Mortgage_Insurance_Type,0.010102929731728934
10,Current_IR,0.03389462955754703,Current_IR,0.03570956030010653,Current_IR,0.043498339659222264,Current_IR,0.041547635116593866
11,Current_UPB,0.09522882557642223,Current_UPB,0.0977545176015023,Current_UPB,0.11112555763722137,Current_UPB,0.05752987820432922
12,Age,0.10457396975094535,Age,0.10596906981049142,Age,0.10661643981529152,Age,0.05617692700070322
13,FICO_bins,0.006841575931017115,FICO_bins,0.00640394092138808,FICO_bins,0.016578460451413497,FICO_bins,0.0
14,Term_bins,0.0021344059318146725,Term_bins,0.003131554710313724,Term_bins,0.010091236796512564,Term_bins,0.0
15,Channel_B,0.011175764897618906,Channel_B,0.0099740759569059,Channel_B,0.0010562692003990343,Channel_B,0.013046734017921061
